(Poblacion Generaciones Mutacion Elemento Mutacion Teoria Mutacion Practica Torneo),(Selección Cruce Sustitucion),Mejor Generacion(μ),Mejor Fitness(μ),Fitness(σ),Tiempo(μ)
100-100-9e-05-0.0005-0.0005-10,(torneo uniforme elitismo),38,0.7246 (241 0.9999 0.9604 0.7170 0.4983),0.0025,7.54 min
100-100-9e-05-0.0005-0.0005-10,(torneo uniforme reemplazo),34,0.7292 (224 0.9999 0.9614 0.7133 0.5032),0.0052,3.84 min
100-100-9e-05-0.0005-0.0005-10,(torneo uniforme truncamiento),42,0.7247 (232 1.0000 0.9597 0.7169 0.4964),0.0059,7.58 min
100-100-9e-05-0.0005-0.0005-20,(torneo uniforme elitismo),21,0.7170 (250 1.0000 0.9528 0.7119 0.4911),0.0026,7.38 min
100-100-9e-05-0.0005-0.0005-20,(torneo uniforme reemplazo),30,0.7206 (242 1.0000 0.9536 0.7186 0.5045),0.0045,3.78 min
100-100-9e-05-0.0005-0.0005-20,(torneo uniforme truncamiento),25,0.7151 (254 0.9998 0.9527 0.7162 0.4822),0.0024,7.26 min
100-100-9e-05-0.0005-0.0005-50,(torneo uniforme elitismo),10,0.7064 (258 0.9999 0.9413 0.7096 0.4810),0.0016,7.40 min
100-100-9e-05-0.0005-0.0005-50,(torneo uniforme reemplazo),16,0.7101 (258 1.0000 0.9449 0.7175 0.4893),0.0028,3.76 min
100-100-9e-05-0.0005-0.0005-50,(torneo uniforme truncamiento),44,0.7113 (255 0.9998 0.9464 0.7142 0.4808),0.0014,7.42 min
100-100-9e-05-0.0005-0.005-10,(torneo uniforme elitismo),43,0.7220 (240 0.9997 0.9567 0.7155 0.5024),0.0034,7.53 min
100-100-9e-05-0.0005-0.005-10,(torneo uniforme reemplazo),40,0.7324 (215 1.0000 0.9634 0.7159 0.5107),0.0033,3.77 min
100-100-9e-05-0.0005-0.005-10,(torneo uniforme truncamiento),26,0.7187 (242 1.0000 0.9547 0.7142 0.4847),0.0048,7.50 min
100-100-9e-05-0.0005-0.005-20,(torneo uniforme elitismo),29,0.7185 (253 0.9999 0.9556 0.7146 0.5004),0.0037,7.45 min
100-100-9e-05-0.0005-0.005-20,(torneo uniforme reemplazo),19,0.7156 (246 0.9999 0.9511 0.7154 0.4875),0.0085,3.78 min
100-100-9e-05-0.0005-0.005-20,(torneo uniforme truncamiento),31,0.7129 (256 1.0000 0.9478 0.7138 0.4960),0.0060,7.43 min
100-100-9e-05-0.0005-0.005-50,(torneo uniforme elitismo),27,0.7105 (260 0.9999 0.9471 0.7119 0.4855),0.0044,7.31 min
100-100-9e-05-0.0005-0.005-50,(torneo uniforme reemplazo),17,0.7072 (249 0.9999 0.9386 0.7123 0.4825),0.0029,3.68 min
100-100-9e-05-0.0005-0.005-50,(torneo uniforme truncamiento),25,0.7104 (260 0.9999 0.9480 0.7144 0.4743),0.0050,7.34 min
100-100-9e-05-0.0005-0.05-10,(torneo uniforme elitismo),31,0.7238 (243 1.0000 0.9594 0.7147 0.4997),0.0039,7.50 min
100-100-9e-05-0.0005-0.05-10,(torneo uniforme reemplazo),35,0.7279 (230 0.9999 0.9595 0.7211 0.5100),0.0018,3.81 min
100-100-9e-05-0.0005-0.05-10,(torneo uniforme truncamiento),30,0.7189 (250 0.9999 0.9567 0.7088 0.4978),0.0040,7.41 min
100-100-9e-05-0.0005-0.05-20,(torneo uniforme elitismo),29,0.7186 (241 0.9999 0.9550 0.7111 0.4900),0.0049,7.50 min
100-100-9e-05-0.0005-0.05-20,(torneo uniforme reemplazo),21,0.7182 (247 1.0000 0.9544 0.7092 0.4918),0.0080,3.73 min
100-100-9e-05-0.0005-0.05-20,(torneo uniforme truncamiento),22,0.7169 (254 1.0000 0.9552 0.7128 0.4925),0.0031,7.44 min
100-100-9e-05-0.0005-0.05-50,(torneo uniforme elitismo),16,0.7074 (262 1.0000 0.9429 0.7109 0.4828),0.0029,7.33 min
100-100-9e-05-0.0005-0.05-50,(torneo uniforme reemplazo),14,0.7093 (259 1.0000 0.9469 0.7138 0.4792),0.0023,3.72 min
100-100-9e-05-0.0005-0.05-50,(torneo uniforme truncamiento),15,0.7102 (259 1.0000 0.9474 0.7125 0.4826),0.0061,7.38 min
100-100-9e-05-0.005-0.0005-10,(torneo uniforme elitismo),30,0.7271 (235 0.9992 0.9623 0.7211 0.5048),0.0057,7.48 min
100-100-9e-05-0.005-0.0005-10,(torneo uniforme reemplazo),35,0.7299 (230 0.9996 0.9626 0.7175 0.5107),0.0039,3.79 min
100-100-9e-05-0.005-0.0005-10,(torneo uniforme truncamiento),25,0.7188 (241 0.9996 0.9543 0.7154 0.4887),0.0054,7.46 min
100-100-9e-05-0.005-0.0005-20,(torneo uniforme elitismo),17,0.7150 (258 0.9995 0.9539 0.7145 0.4882),0.0058,7.37 min
100-100-9e-05-0.005-0.0005-20,(torneo uniforme reemplazo),21,0.7204 (247 0.9995 0.9551 0.7165 0.5026),0.0028,3.74 min
100-100-9e-05-0.005-0.0005-20,(torneo uniforme truncamiento),17,0.7163 (257 0.9993 0.9553 0.7165 0.4891),0.0044,7.35 min
100-100-9e-05-0.005-0.0005-50,(torneo uniforme elitismo),16,0.7082 (255 0.9997 0.9425 0.7077 0.4808),0.0045,7.28 min
100-100-9e-05-0.005-0.0005-50,(torneo uniforme reemplazo),13,0.7125 (259 0.9997 0.9472 0.7171 0.4917),0.0051,3.71 min
100-100-9e-05-0.005-0.0005-50,(torneo uniforme truncamiento),16,0.7099 (265 0.9994 0.9467 0.7121 0.4853),0.0056,7.43 min
100-100-9e-05-0.005-0.005-10,(torneo uniforme elitismo),28,0.7217 (245 0.9992 0.9577 0.7122 0.5020),0.0051,7.48 min
100-100-9e-05-0.005-0.005-10,(torneo uniforme reemplazo),33,0.7288 (227 0.9993 0.9601 0.7123 0.5158),0.0025,3.80 min
100-100-9e-05-0.005-0.005-10,(torneo uniforme truncamiento),25,0.7175 (247 0.9993 0.9532 0.7137 0.4901),0.0054,7.60 min
100-100-9e-05-0.005-0.005-20,(torneo uniforme elitismo),20,0.7154 (254 0.9995 0.9532 0.7069 0.4951),0.0075,7.38 min
100-100-9e-05-0.005-0.005-20,(torneo uniforme reemplazo),18,0.7199 (244 0.9997 0.9547 0.7153 0.4974),0.0027,3.73 min
100-100-9e-05-0.005-0.005-20,(torneo uniforme truncamiento),22,0.7137 (255 0.9990 0.9498 0.7093 0.4865),0.0049,7.43 min
100-100-9e-05-0.005-0.005-50,(torneo uniforme elitismo),14,0.7077 (265 0.9998 0.9476 0.7100 0.4799),0.0041,7.40 min
100-100-9e-05-0.005-0.005-50,(torneo uniforme reemplazo),12,0.7113 (255 0.9997 0.9467 0.7147 0.4811),0.0010,3.72 min
100-100-9e-05-0.005-0.005-50,(torneo uniforme truncamiento),11,0.7085 (256 0.9998 0.9427 0.7135 0.4829),0.0036,7.32 min
100-100-9e-05-0.005-0.05-10,(torneo uniforme elitismo),26,0.7216 (243 0.9990 0.9546 0.7180 0.5100),0.0070,7.43 min
100-100-9e-05-0.005-0.05-10,(torneo uniforme reemplazo),29,0.7238 (241 0.9994 0.9621 0.7176 0.4925),0.0058,3.76 min
100-100-9e-05-0.005-0.05-10,(torneo uniforme truncamiento),27,0.7202 (248 0.9989 0.9562 0.7113 0.4979),0.0022,7.42 min
100-100-9e-05-0.005-0.05-20,(torneo uniforme elitismo),19,0.7170 (240 0.9998 0.9516 0.7153 0.4806),0.0048,7.38 min
100-100-9e-05-0.005-0.05-20,(torneo uniforme reemplazo),19,0.7187 (244 0.9996 0.9541 0.7164 0.4900),0.0043,3.73 min
100-100-9e-05-0.005-0.05-20,(torneo uniforme truncamiento),18,0.7151 (253 0.9994 0.9515 0.7170 0.4911),0.0042,7.40 min
100-100-9e-05-0.005-0.05-50,(torneo uniforme elitismo),13,0.7084 (261 0.9998 0.9438 0.7164 0.4831),0.0050,7.38 min
100-100-9e-05-0.005-0.05-50,(torneo uniforme reemplazo),11,0.7095 (266 0.9996 0.9462 0.7119 0.4853),0.0042,3.70 min
100-100-9e-05-0.005-0.05-50,(torneo uniforme truncamiento),13,0.7075 (256 0.9997 0.9410 0.7065 0.4857),0.0033,7.34 min
100-100-9e-05-0.05-0.0005-10,(torneo uniforme elitismo),24,0.7145 (272 0.9953 0.9554 0.7158 0.5025),0.0019,7.36 min
100-100-9e-05-0.05-0.0005-10,(torneo uniforme reemplazo),28,0.7238 (252 0.9949 0.9611 0.7161 0.5138),0.0047,3.75 min
100-100-9e-05-0.05-0.0005-10,(torneo uniforme truncamiento),22,0.7141 (258 0.9963 0.9522 0.7142 0.4900),0.0027,7.39 min
100-100-9e-05-0.05-0.0005-20,(torneo uniforme elitismo),14,0.7109 (259 0.9969 0.9464 0.7139 0.4900),0.0037,7.39 min
100-100-9e-05-0.05-0.0005-20,(torneo uniforme reemplazo),17,0.7152 (257 0.9965 0.9527 0.7111 0.4922),0.0058,3.74 min
100-100-9e-05-0.05-0.0005-20,(torneo uniforme truncamiento),17,0.7106 (268 0.9961 0.9497 0.7138 0.4938),0.0033,7.44 min
100-100-9e-05-0.05-0.0005-50,(torneo uniforme elitismo),10,0.7065 (265 0.9975 0.9417 0.7186 0.4876),0.0072,7.30 min
100-100-9e-05-0.05-0.0005-50,(torneo uniforme reemplazo),10,0.7045 (271 0.9974 0.9436 0.7127 0.4796),0.0027,3.65 min
100-100-9e-05-0.05-0.0005-50,(torneo uniforme truncamiento),10,0.7039 (274 0.9979 0.9417 0.7145 0.4862),0.0028,7.29 min
100-100-9e-05-0.05-0.005-10,(torneo uniforme elitismo),27,0.7192 (259 0.9943 0.9577 0.7167 0.5048),0.0056,7.49 min
100-100-9e-05-0.05-0.005-10,(torneo uniforme reemplazo),27,0.7176 (268 0.9949 0.9593 0.7167 0.4978),0.0065,3.71 min
100-100-9e-05-0.05-0.005-10,(torneo uniforme truncamiento),23,0.7157 (265 0.9954 0.9552 0.7171 0.5002),0.0049,7.53 min
100-100-9e-05-0.05-0.005-20,(torneo uniforme elitismo),16,0.7127 (273 0.9966 0.9519 0.7142 0.5036),0.0015,7.41 min
100-100-9e-05-0.05-0.005-20,(torneo uniforme reemplazo),15,0.7105 (261 0.9970 0.9484 0.7132 0.4866),0.0053,3.78 min
100-100-9e-05-0.05-0.005-20,(torneo uniforme truncamiento),14,0.7086 (280 0.9975 0.9501 0.7201 0.4878),0.0045,7.43 min
100-100-9e-05-0.05-0.005-50,(torneo uniforme elitismo),11,0.7059 (268 0.9976 0.9433 0.7130 0.4773),0.0017,7.37 min
100-100-9e-05-0.05-0.005-50,(torneo uniforme reemplazo),9,0.7063 (279 0.9973 0.9458 0.7160 0.4911),0.0045,3.70 min
100-100-9e-05-0.05-0.005-50,(torneo uniforme truncamiento),10,0.7058 (262 0.9979 0.9435 0.7100 0.4781),0.0037,7.34 min
100-100-9e-05-0.05-0.05-10,(torneo uniforme elitismo),22,0.7157 (260 0.9960 0.9542 0.7190 0.4953),0.0058,7.45 min
100-100-9e-05-0.05-0.05-10,(torneo uniforme reemplazo),28,0.7228 (254 0.9951 0.9584 0.7158 0.5178),0.0036,3.85 min
100-100-9e-05-0.05-0.05-10,(torneo uniforme truncamiento),25,0.7144 (269 0.9951 0.9556 0.7152 0.4963),0.0070,7.38 min
100-100-9e-05-0.05-0.05-20,(torneo uniforme elitismo),17,0.7154 (262 0.9965 0.9532 0.7133 0.4987),0.0031,7.45 min
100-100-9e-05-0.05-0.05-20,(torneo uniforme reemplazo),16,0.7135 (263 0.9979 0.9524 0.7159 0.4897),0.0053,3.71 min
100-100-9e-05-0.05-0.05-20,(torneo uniforme truncamiento),16,0.7126 (261 0.9965 0.9493 0.7167 0.4980),0.0021,7.34 min
100-100-9e-05-0.05-0.05-50,(torneo uniforme elitismo),11,0.7101 (267 0.9972 0.9456 0.7172 0.4934),0.0015,7.36 min
100-100-9e-05-0.05-0.05-50,(torneo uniforme reemplazo),12,0.7063 (277 0.9974 0.9448 0.7140 0.4882),0.0039,3.68 min
100-100-9e-05-0.05-0.05-50,(torneo uniforme truncamiento),10,0.7044 (271 0.9973 0.9391 0.7144 0.4907),0.0037,7.38 min
100-50-9e-05-0.0005-0.0005-10,(torneo uniforme elitismo),32,0.7241 (245 0.9999 0.9624 0.7199 0.4983),0.0026,3.65 min
100-50-9e-05-0.0005-0.0005-10,(torneo uniforme reemplazo),30,0.7264 (239 0.9999 0.9633 0.7145 0.4991),0.0036,1.92 min
100-50-9e-05-0.0005-0.0005-10,(torneo uniforme truncamiento),25,0.7184 (247 1.0000 0.9537 0.7157 0.4946),0.0034,3.74 min
100-50-9e-05-0.0005-0.0005-20,(torneo uniforme elitismo),22,0.7163 (250 0.9998 0.9538 0.7134 0.4821),0.0055,3.66 min
100-50-9e-05-0.0005-0.0005-20,(torneo uniforme reemplazo),18,0.7170 (247 0.9999 0.9511 0.7123 0.4953),0.0049,1.86 min
100-50-9e-05-0.0005-0.0005-20,(torneo uniforme truncamiento),24,0.7171 (254 1.0000 0.9549 0.7150 0.4930),0.0029,3.67 min
100-50-9e-05-0.0005-0.0005-50,(torneo uniforme elitismo),19,0.7092 (259 0.9998 0.9435 0.7162 0.4864),0.0025,3.61 min
100-50-9e-05-0.0005-0.0005-50,(torneo uniforme reemplazo),10,0.7070 (261 1.0000 0.9414 0.7155 0.4845),0.0050,1.83 min
100-50-9e-05-0.0005-0.0005-50,(torneo uniforme truncamiento),18,0.7075 (263 0.9999 0.9432 0.7149 0.4772),0.0026,3.66 min
100-50-9e-05-0.0005-0.005-10,(torneo uniforme elitismo),29,0.7229 (236 1.0000 0.9578 0.7116 0.4953),0.0077,3.72 min
100-50-9e-05-0.0005-0.005-10,(torneo uniforme reemplazo),38,0.7310 (226 1.0000 0.9627 0.7162 0.5133),0.0025,1.91 min
100-50-9e-05-0.0005-0.005-10,(torneo uniforme truncamiento),32,0.7200 (244 0.9999 0.9553 0.7141 0.4965),0.0027,3.79 min
100-50-9e-05-0.0005-0.005-20,(torneo uniforme elitismo),18,0.7147 (251 1.0000 0.9525 0.7113 0.4839),0.0036,3.68 min
100-50-9e-05-0.0005-0.005-20,(torneo uniforme reemplazo),24,0.7180 (244 0.9999 0.9538 0.7118 0.4928),0.0024,1.88 min
100-50-9e-05-0.0005-0.005-20,(torneo uniforme truncamiento),21,0.7183 (248 0.9998 0.9516 0.7175 0.4985),0.0038,3.67 min
100-50-9e-05-0.0005-0.005-50,(torneo uniforme elitismo),16,0.7080 (260 0.9999 0.9428 0.7117 0.4854),0.0064,3.62 min
100-50-9e-05-0.0005-0.005-50,(torneo uniforme reemplazo),14,0.7082 (261 0.9999 0.9413 0.7100 0.4913),0.0044,1.84 min
100-50-9e-05-0.0005-0.005-50,(torneo uniforme truncamiento),11,0.7089 (256 1.0000 0.9428 0.7104 0.4879),0.0029,3.67 min
100-50-9e-05-0.0005-0.05-10,(torneo uniforme elitismo),25,0.7222 (234 1.0000 0.9550 0.7142 0.4963),0.0039,3.70 min
100-50-9e-05-0.0005-0.05-10,(torneo uniforme reemplazo),34,0.7327 (222 0.9999 0.9645 0.7142 0.5168),0.0037,1.92 min
100-50-9e-05-0.0005-0.05-10,(torneo uniforme truncamiento),28,0.7220 (237 0.9999 0.9546 0.7164 0.4949),0.0034,3.75 min
100-50-9e-05-0.0005-0.05-20,(torneo uniforme elitismo),21,0.7176 (242 1.0000 0.9517 0.7095 0.4944),0.0052,3.67 min
100-50-9e-05-0.0005-0.05-20,(torneo uniforme reemplazo),25,0.7210 (244 0.9999 0.9566 0.7152 0.4923),0.0046,1.89 min
100-50-9e-05-0.0005-0.05-20,(torneo uniforme truncamiento),19,0.7166 (251 1.0000 0.9518 0.7116 0.4974),0.0052,3.73 min
100-50-9e-05-0.0005-0.05-50,(torneo uniforme elitismo),13,0.7105 (252 1.0000 0.9455 0.7137 0.4774),0.0025,3.68 min
100-50-9e-05-0.0005-0.05-50,(torneo uniforme reemplazo),15,0.7074 (263 0.9999 0.9459 0.7136 0.4783),0.0044,1.85 min
100-50-9e-05-0.0005-0.05-50,(torneo uniforme truncamiento),10,0.7061 (260 0.9999 0.9399 0.7123 0.4833),0.0042,3.61 min
100-50-9e-05-0.005-0.0005-10,(torneo uniforme elitismo),28,0.7218 (245 0.9993 0.9588 0.7169 0.4943),0.0041,3.77 min
100-50-9e-05-0.005-0.0005-10,(torneo uniforme reemplazo),30,0.7277 (241 0.9996 0.9631 0.7188 0.5107),0.0056,1.91 min
100-50-9e-05-0.005-0.0005-10,(torneo uniforme truncamiento),29,0.7230 (251 0.9993 0.9574 0.7198 0.5091),0.0036,3.76 min
100-50-9e-05-0.005-0.0005-20,(torneo uniforme elitismo),19,0.7184 (250 0.9995 0.9545 0.7148 0.4915),0.0033,3.76 min
100-50-9e-05-0.005-0.0005-20,(torneo uniforme reemplazo),18,0.7199 (248 0.9999 0.9549 0.7180 0.4988),0.0013,1.92 min
100-50-9e-05-0.005-0.0005-20,(torneo uniforme truncamiento),19,0.7145 (259 0.9998 0.9504 0.7137 0.4991),0.0021,3.69 min
100-50-9e-05-0.005-0.0005-50,(torneo uniforme elitismo),11,0.7098 (262 0.9999 0.9468 0.7097 0.4808),0.0066,3.65 min
100-50-9e-05-0.005-0.0005-50,(torneo uniforme reemplazo),12,0.7063 (264 0.9998 0.9446 0.7136 0.4774),0.0054,1.86 min
100-50-9e-05-0.005-0.0005-50,(torneo uniforme truncamiento),11,0.7088 (248 0.9999 0.9413 0.7177 0.4774),0.0043,3.69 min
100-50-9e-05-0.005-0.005-10,(torneo uniforme elitismo),29,0.7259 (231 0.9995 0.9596 0.7176 0.5021),0.0050,3.74 min
100-50-9e-05-0.005-0.005-10,(torneo uniforme reemplazo),34,0.7279 (236 0.9993 0.9622 0.7184 0.5096),0.0032,1.91 min
100-50-9e-05-0.005-0.005-10,(torneo uniforme truncamiento),25,0.7190 (242 0.9996 0.9530 0.7113 0.5037),0.0059,3.74 min
100-50-9e-05-0.005-0.005-20,(torneo uniforme elitismo),16,0.7179 (249 0.9997 0.9549 0.7142 0.4899),0.0024,3.69 min
100-50-9e-05-0.005-0.005-20,(torneo uniforme reemplazo),21,0.7174 (251 0.9991 0.9534 0.7212 0.4945),0.0040,1.92 min
100-50-9e-05-0.005-0.005-20,(torneo uniforme truncamiento),20,0.7166 (249 0.9994 0.9525 0.7110 0.4954),0.0023,3.71 min
100-50-9e-05-0.005-0.005-50,(torneo uniforme elitismo),13,0.7098 (255 0.9993 0.9450 0.7152 0.4783),0.0050,3.68 min
100-50-9e-05-0.005-0.005-50,(torneo uniforme reemplazo),19,0.7101 (252 0.9992 0.9435 0.7191 0.4821),0.0037,1.85 min
100-50-9e-05-0.005-0.005-50,(torneo uniforme truncamiento),17,0.7058 (257 0.9995 0.9415 0.7142 0.4743),0.0039,3.67 min
100-50-9e-05-0.005-0.05-10,(torneo uniforme elitismo),32,0.7227 (241 0.9991 0.9572 0.7124 0.5059),0.0032,3.79 min
100-50-9e-05-0.005-0.05-10,(torneo uniforme reemplazo),29,0.7258 (239 0.9995 0.9604 0.7152 0.5045),0.0066,1.94 min
100-50-9e-05-0.005-0.05-10,(torneo uniforme truncamiento),24,0.7180 (249 0.9995 0.9545 0.7113 0.4932),0.0059,3.72 min
100-50-9e-05-0.005-0.05-20,(torneo uniforme elitismo),19,0.7192 (245 0.9994 0.9549 0.7138 0.4953),0.0059,3.71 min
100-50-9e-05-0.005-0.05-20,(torneo uniforme reemplazo),21,0.7185 (248 0.9994 0.9537 0.7164 0.4943),0.0029,1.94 min
100-50-9e-05-0.005-0.05-20,(torneo uniforme truncamiento),19,0.7148 (251 0.9996 0.9526 0.7099 0.4838),0.0044,3.73 min
100-50-9e-05-0.005-0.05-50,(torneo uniforme elitismo),10,0.7043 (260 1.0000 0.9378 0.7128 0.4752),0.0030,3.70 min
100-50-9e-05-0.005-0.05-50,(torneo uniforme reemplazo),15,0.7060 (259 0.9996 0.9386 0.7123 0.4853),0.0119,1.84 min
100-50-9e-05-0.005-0.05-50,(torneo uniforme truncamiento),9,0.7052 (258 0.9999 0.9365 0.7142 0.4831),0.0119,3.66 min
100-50-9e-05-0.05-0.0005-10,(torneo uniforme elitismo),21,0.7149 (260 0.9956 0.9527 0.7099 0.5009),0.0041,3.73 min
100-50-9e-05-0.05-0.0005-10,(torneo uniforme reemplazo),27,0.7193 (256 0.9939 0.9592 0.7137 0.4992),0.0039,1.92 min
100-50-9e-05-0.05-0.0005-10,(torneo uniforme truncamiento),20,0.7107 (269 0.9958 0.9524 0.7117 0.4830),0.0041,3.75 min
100-50-9e-05-0.05-0.0005-20,(torneo uniforme elitismo),14,0.7106 (262 0.9974 0.9472 0.7154 0.4916),0.0060,3.69 min
100-50-9e-05-0.05-0.0005-20,(torneo uniforme reemplazo),16,0.7122 (268 0.9964 0.9515 0.7154 0.4945),0.0062,1.87 min
100-50-9e-05-0.05-0.0005-20,(torneo uniforme truncamiento),16,0.7145 (262 0.9973 0.9532 0.7100 0.4943),0.0028,3.77 min
100-50-9e-05-0.05-0.0005-50,(torneo uniforme elitismo),9,0.7067 (269 0.9983 0.9427 0.7151 0.4876),0.0046,3.69 min
100-50-9e-05-0.05-0.0005-50,(torneo uniforme reemplazo),9,0.7039 (276 0.9983 0.9421 0.7145 0.4817),0.0027,1.87 min
100-50-9e-05-0.05-0.0005-50,(torneo uniforme truncamiento),9,0.7041 (272 0.9981 0.9447 0.7092 0.4784),0.0045,3.68 min
