(Poblacion Generaciones Mutacion Elemento Mutacion Teoria Mutacion Practica Torneo),(Selección Cruce Sustitucion),Mejor Generacion(μ),Mejor Fitness(μ),Fitness(σ),Tiempo(μ)
300-80-9e-05-0.005-0.0005-20,(torneo uniforme reemplazo),31,0.7361 (227 0.9975 0.9675 0.7190 0.5343),0.0064,9.07 min
300-80-9e-05-0.005-0.0005-20,(torneo uniforme truncamiento),25,0.7267 (240 0.9984 0.9633 0.7155 0.5042),0.0039,17.40 min
300-80-9e-05-0.005-0.0005-50,(torneo uniforme elitismo),18,0.7228 (246 0.9990 0.9605 0.7149 0.5010),0.0062,17.29 min
300-80-9e-05-0.005-0.0005-50,(torneo uniforme reemplazo),17,0.7246 (236 0.9990 0.9597 0.7146 0.5025),0.0048,8.82 min
300-80-9e-05-0.005-0.0005-50,(torneo uniforme truncamiento),16,0.7192 (262 0.9989 0.9587 0.7162 0.4981),0.0020,17.66 min
300-80-9e-05-0.005-0.005-10,(torneo uniforme elitismo),50,0.7472 (202 0.9975 0.9715 0.7222 0.5513),0.0045,18.00 min
300-80-9e-05-0.005-0.005-10,(torneo uniforme reemplazo),59,0.7537 (184 0.9976 0.9740 0.7227 0.5651),0.0043,9.10 min
300-80-9e-05-0.005-0.005-10,(torneo uniforme truncamiento),41,0.7350 (231 0.9980 0.9700 0.7186 0.5249),0.0056,17.87 min
300-80-9e-05-0.005-0.005-20,(torneo uniforme elitismo),27,0.7297 (237 0.9982 0.9676 0.7197 0.5068),0.0042,17.54 min
300-80-9e-05-0.005-0.005-20,(torneo uniforme reemplazo),34,0.7389 (220 0.9984 0.9691 0.7212 0.5302),0.0023,8.97 min
300-80-9e-05-0.005-0.005-20,(torneo uniforme truncamiento),27,0.7287 (236 0.9981 0.9654 0.7175 0.5038),0.0025,17.77 min
300-80-9e-05-0.005-0.005-50,(torneo uniforme elitismo),18,0.7219 (248 0.9981 0.9577 0.7201 0.5029),0.0029,17.56 min
300-80-9e-05-0.005-0.005-50,(torneo uniforme reemplazo),18,0.7220 (251 0.9987 0.9600 0.7196 0.4990),0.0033,8.82 min
300-80-9e-05-0.005-0.005-50,(torneo uniforme truncamiento),17,0.7230 (242 0.9992 0.9584 0.7145 0.5053),0.0053,17.57 min
300-80-9e-05-0.005-0.05-10,(torneo uniforme elitismo),46,0.7411 (206 0.9982 0.9660 0.7216 0.5428),0.0054,17.75 min
300-80-9e-05-0.005-0.05-10,(torneo uniforme reemplazo),52,0.7481 (192 0.9976 0.9669 0.7259 0.5599),0.0031,9.04 min
300-80-9e-05-0.005-0.05-10,(torneo uniforme truncamiento),39,0.7327 (224 0.9980 0.9641 0.7191 0.5222),0.0053,17.82 min
300-80-9e-05-0.005-0.05-20,(torneo uniforme elitismo),24,0.7272 (232 0.9988 0.9605 0.7163 0.5062),0.0051,17.44 min
300-80-9e-05-0.005-0.05-20,(torneo uniforme reemplazo),29,0.7349 (216 0.9989 0.9644 0.7182 0.5211),0.0025,8.79 min
300-80-9e-05-0.005-0.05-20,(torneo uniforme truncamiento),26,0.7267 (236 0.9988 0.9607 0.7175 0.5069),0.0038,17.67 min
300-80-9e-05-0.005-0.05-50,(torneo uniforme elitismo),16,0.7193 (248 0.9989 0.9547 0.7162 0.4972),0.0042,17.54 min
300-80-9e-05-0.005-0.05-50,(torneo uniforme reemplazo),18,0.7232 (246 0.9989 0.9599 0.7140 0.5031),0.0030,8.68 min
300-80-9e-05-0.005-0.05-50,(torneo uniforme truncamiento),17,0.7207 (246 0.9987 0.9574 0.7151 0.4971),0.0009,17.56 min
300-80-9e-05-0.05-0.0005-10,(torneo uniforme elitismo),41,0.7281 (245 0.9856 0.9592 0.7279 0.5404),0.0060,17.86 min
300-80-9e-05-0.05-0.0005-10,(torneo uniforme reemplazo),43,0.7350 (232 0.9870 0.9595 0.7248 0.5646),0.0043,9.06 min
300-80-9e-05-0.05-0.0005-10,(torneo uniforme truncamiento),32,0.7210 (256 0.9878 0.9569 0.7188 0.5219),0.0061,17.79 min
300-80-9e-05-0.05-0.0005-20,(torneo uniforme elitismo),19,0.7178 (261 0.9921 0.9549 0.7190 0.5079),0.0035,17.78 min
300-80-9e-05-0.05-0.0005-20,(torneo uniforme reemplazo),23,0.7222 (267 0.9892 0.9575 0.7210 0.5347),0.0035,8.83 min
300-80-9e-05-0.05-0.0005-20,(torneo uniforme truncamiento),19,0.7162 (269 0.9920 0.9549 0.7187 0.5097),0.0045,17.92 min
300-80-9e-05-0.05-0.0005-50,(torneo uniforme elitismo),14,0.7125 (270 0.9917 0.9534 0.7142 0.4933),0.0029,17.36 min
300-80-9e-05-0.05-0.0005-50,(torneo uniforme reemplazo),14,0.7126 (272 0.9925 0.9540 0.7144 0.4970),0.0035,8.63 min
300-80-9e-05-0.05-0.0005-50,(torneo uniforme truncamiento),13,0.7119 (282 0.9912 0.9543 0.7127 0.5031),0.0029,17.37 min
300-80-9e-05-0.05-0.005-10,(torneo uniforme elitismo),34,0.7270 (243 0.9896 0.9555 0.7311 0.5362),0.0028,17.78 min
300-80-9e-05-0.05-0.005-10,(torneo uniforme reemplazo),43,0.7322 (237 0.9856 0.9592 0.7300 0.5574),0.0035,8.92 min
300-80-9e-05-0.05-0.005-10,(torneo uniforme truncamiento),33,0.7200 (269 0.9868 0.9584 0.7219 0.5240),0.0059,18.13 min
300-80-9e-05-0.05-0.005-20,(torneo uniforme elitismo),21,0.7154 (270 0.9910 0.9540 0.7180 0.5106),0.0064,17.59 min
300-80-9e-05-0.05-0.005-20,(torneo uniforme reemplazo),22,0.7238 (248 0.9914 0.9568 0.7205 0.5266),0.0035,8.87 min
300-80-9e-05-0.05-0.005-20,(torneo uniforme truncamiento),19,0.7125 (280 0.9912 0.9536 0.7168 0.5045),0.0061,17.82 min
300-80-9e-05-0.05-0.005-50,(torneo uniforme elitismo),14,0.7141 (269 0.9924 0.9558 0.7171 0.4997),0.0019,17.65 min
300-80-9e-05-0.05-0.005-50,(torneo uniforme reemplazo),16,0.7153 (275 0.9917 0.9567 0.7185 0.5070),0.0044,8.69 min
300-80-9e-05-0.05-0.005-50,(torneo uniforme truncamiento),13,0.7132 (271 0.9934 0.9543 0.7147 0.4940),0.0032,17.51 min
300-80-9e-05-0.05-0.05-10,(torneo uniforme elitismo),36,0.7279 (242 0.9873 0.9559 0.7199 0.5475),0.0027,18.01 min
300-80-9e-05-0.05-0.05-10,(torneo uniforme reemplazo),43,0.7286 (251 0.9857 0.9567 0.7282 0.5594),0.0030,8.98 min
300-80-9e-05-0.05-0.05-10,(torneo uniforme truncamiento),27,0.7132 (277 0.9889 0.9535 0.7138 0.5118),0.0058,17.62 min
300-80-9e-05-0.05-0.05-20,(torneo uniforme elitismo),19,0.7125 (266 0.9906 0.9510 0.7165 0.4962),0.0050,17.47 min
300-80-9e-05-0.05-0.05-20,(torneo uniforme reemplazo),25,0.7202 (266 0.9880 0.9593 0.7186 0.5179),0.0057,8.96 min
300-80-9e-05-0.05-0.05-20,(torneo uniforme truncamiento),20,0.7134 (262 0.9906 0.9490 0.7117 0.5107),0.0056,17.75 min
300-80-9e-05-0.05-0.05-50,(torneo uniforme elitismo),13,0.7133 (263 0.9936 0.9521 0.7110 0.4967),0.0048,17.46 min
300-80-9e-05-0.05-0.05-50,(torneo uniforme reemplazo),13,0.7139 (260 0.9937 0.9496 0.7170 0.4974),0.0040,8.73 min
300-80-9e-05-0.05-0.05-50,(torneo uniforme truncamiento),12,0.7124 (264 0.9936 0.9492 0.7153 0.4952),0.0045,17.60 min
500-100-9e-05-0.0005-0.0005-10,(torneo uniforme elitismo),72,0.7641 (161 0.9995 0.9775 0.7338 0.5816),0.0051,37.52 min
500-100-9e-05-0.0005-0.0005-10,(torneo uniforme reemplazo),79,0.7726 (141 0.9991 0.9769 0.7379 0.6098),0.0028,18.79 min
500-100-9e-05-0.0005-0.0005-10,(torneo uniforme truncamiento),61,0.7498 (192 0.9994 0.9724 0.7269 0.5545),0.0085,36.96 min
500-100-9e-05-0.0005-0.0005-20,(torneo uniforme elitismo),37,0.7424 (215 0.9993 0.9729 0.7200 0.5331),0.0029,36.76 min
500-100-9e-05-0.0005-0.0005-20,(torneo uniforme reemplazo),48,0.7553 (189 0.9999 0.9751 0.7278 0.5690),0.0031,18.54 min
500-100-9e-05-0.0005-0.0005-20,(torneo uniforme truncamiento),43,0.7385 (218 0.9997 0.9698 0.7135 0.5304),0.0038,36.68 min
500-100-9e-05-0.0005-0.0005-50,(torneo uniforme elitismo),22,0.7304 (232 0.9998 0.9667 0.7190 0.5030),0.0049,36.69 min
500-100-9e-05-0.0005-0.0005-50,(torneo uniforme reemplazo),25,0.7339 (227 0.9998 0.9687 0.7133 0.5165),0.0072,18.09 min
500-100-9e-05-0.0005-0.0005-50,(torneo uniforme truncamiento),21,0.7297 (231 0.9998 0.9633 0.7182 0.5083),0.0026,36.47 min
500-100-9e-05-0.0005-0.005-10,(torneo uniforme elitismo),70,0.7659 (155 0.9996 0.9776 0.7315 0.5847),0.0053,37.22 min
500-100-9e-05-0.0005-0.005-10,(torneo uniforme reemplazo),77,0.7722 (151 0.9994 0.9774 0.7387 0.6155),0.0018,18.66 min
500-100-9e-05-0.0005-0.005-10,(torneo uniforme truncamiento),53,0.7453 (197 0.9995 0.9718 0.7232 0.5329),0.0080,37.02 min
500-100-9e-05-0.0005-0.005-20,(torneo uniforme elitismo),38,0.7462 (202 0.9998 0.9722 0.7242 0.5387),0.0031,37.52 min
500-100-9e-05-0.0005-0.005-20,(torneo uniforme reemplazo),39,0.7499 (195 0.9994 0.9739 0.7280 0.5470),0.0054,18.27 min
500-100-9e-05-0.0005-0.005-20,(torneo uniforme truncamiento),35,0.7376 (217 0.9998 0.9706 0.7174 0.5184),0.0020,36.78 min
500-100-9e-05-0.0005-0.005-50,(torneo uniforme elitismo),21,0.7295 (238 0.9997 0.9648 0.7225 0.5119),0.0039,36.18 min
500-100-9e-05-0.0005-0.005-50,(torneo uniforme reemplazo),23,0.7316 (231 0.9995 0.9638 0.7126 0.5182),0.0038,18.33 min
500-100-9e-05-0.0005-0.005-50,(torneo uniforme truncamiento),20,0.7273 (235 0.9999 0.9599 0.7196 0.5105),0.0070,36.92 min
500-100-9e-05-0.0005-0.05-10,(torneo uniforme elitismo),64,0.7606 (167 0.9998 0.9703 0.7329 0.5920),0.0036,37.23 min
500-100-9e-05-0.0005-0.05-10,(torneo uniforme reemplazo),70,0.7658 (156 0.9997 0.9692 0.7298 0.6145),0.0015,18.62 min
500-100-9e-05-0.0005-0.05-10,(torneo uniforme truncamiento),52,0.7443 (200 0.9999 0.9654 0.7226 0.5546),0.0052,37.30 min
500-100-9e-05-0.0005-0.05-20,(torneo uniforme elitismo),37,0.7410 (202 0.9996 0.9640 0.7222 0.5417),0.0065,36.56 min
500-100-9e-05-0.0005-0.05-20,(torneo uniforme reemplazo),38,0.7439 (204 0.9996 0.9672 0.7193 0.5531),0.0037,18.29 min
500-100-9e-05-0.0005-0.05-20,(torneo uniforme truncamiento),34,0.7391 (204 0.9998 0.9642 0.7203 0.5377),0.0026,36.64 min
500-100-9e-05-0.0005-0.05-50,(torneo uniforme elitismo),22,0.7319 (222 0.9998 0.9607 0.7180 0.5210),0.0059,36.45 min
500-100-9e-05-0.0005-0.05-50,(torneo uniforme reemplazo),22,0.7284 (233 0.9996 0.9598 0.7185 0.5192),0.0042,18.11 min
500-100-9e-05-0.0005-0.05-50,(torneo uniforme truncamiento),20,0.7283 (229 0.9999 0.9613 0.7105 0.5125),0.0028,36.63 min
500-100-9e-05-0.005-0.0005-10,(torneo uniforme elitismo),67,0.7588 (180 0.9960 0.9751 0.7326 0.5860),0.0027,37.21 min
500-100-9e-05-0.005-0.0005-10,(torneo uniforme reemplazo),74,0.7651 (174 0.9949 0.9758 0.7361 0.6115),0.0027,18.63 min
500-100-9e-05-0.005-0.0005-10,(torneo uniforme truncamiento),47,0.7414 (219 0.9962 0.9721 0.7249 0.5375),0.0070,37.67 min
500-100-9e-05-0.005-0.0005-20,(torneo uniforme elitismo),33,0.7384 (219 0.9969 0.9686 0.7228 0.5340),0.0056,37.12 min
500-100-9e-05-0.005-0.0005-20,(torneo uniforme reemplazo),41,0.7475 (206 0.9970 0.9740 0.7252 0.5502),0.0039,18.54 min
500-100-9e-05-0.005-0.0005-20,(torneo uniforme truncamiento),35,0.7391 (219 0.9973 0.9725 0.7255 0.5206),0.0042,37.06 min
500-100-9e-05-0.005-0.0005-50,(torneo uniforme elitismo),22,0.7289 (242 0.9967 0.9650 0.7180 0.5206),0.0027,36.25 min
500-100-9e-05-0.005-0.0005-50,(torneo uniforme reemplazo),22,0.7303 (232 0.9977 0.9673 0.7187 0.5029),0.0021,18.22 min
500-100-9e-05-0.005-0.0005-50,(torneo uniforme truncamiento),21,0.7270 (237 0.9982 0.9637 0.7199 0.5010),0.0039,36.28 min
500-100-9e-05-0.005-0.005-10,(torneo uniforme elitismo),61,0.7557 (183 0.9948 0.9715 0.7345 0.5776),0.0054,37.29 min
500-100-9e-05-0.005-0.005-10,(torneo uniforme reemplazo),73,0.7660 (161 0.9956 0.9736 0.7367 0.6090),0.0016,18.69 min
500-100-9e-05-0.005-0.005-10,(torneo uniforme truncamiento),53,0.7430 (215 0.9958 0.9727 0.7282 0.5381),0.0053,37.46 min
500-100-9e-05-0.005-0.005-20,(torneo uniforme elitismo),34,0.7367 (228 0.9966 0.9688 0.7220 0.5333),0.0081,36.71 min
500-100-9e-05-0.005-0.005-20,(torneo uniforme reemplazo),41,0.7493 (193 0.9964 0.9704 0.7206 0.5627),0.0033,18.33 min
500-100-9e-05-0.005-0.005-20,(torneo uniforme truncamiento),32,0.7291 (247 0.9966 0.9678 0.7168 0.5156),0.0071,36.44 min
500-100-9e-05-0.005-0.005-50,(torneo uniforme elitismo),21,0.7285 (236 0.9973 0.9656 0.7152 0.5029),0.0072,36.30 min
500-100-9e-05-0.005-0.005-50,(torneo uniforme reemplazo),23,0.7303 (232 0.9976 0.9641 0.7169 0.5121),0.0049,18.24 min
500-100-9e-05-0.005-0.005-50,(torneo uniforme truncamiento),18,0.7261 (237 0.9984 0.9627 0.7185 0.5006),0.0026,36.22 min
500-100-9e-05-0.005-0.05-10,(torneo uniforme elitismo),62,0.7550 (174 0.9967 0.9648 0.7328 0.5901),0.0036,37.42 min
500-100-9e-05-0.005-0.05-10,(torneo uniforme reemplazo),66,0.7613 (170 0.9964 0.9675 0.7353 0.6086),0.0017,18.72 min
500-100-9e-05-0.005-0.05-10,(torneo uniforme truncamiento),45,0.7386 (214 0.9966 0.9625 0.7213 0.5459),0.0101,37.46 min
500-100-9e-05-0.005-0.05-20,(torneo uniforme elitismo),34,0.7375 (218 0.9978 0.9651 0.7260 0.5359),0.0036,37.17 min
500-100-9e-05-0.005-0.05-20,(torneo uniforme reemplazo),41,0.7434 (203 0.9972 0.9664 0.7256 0.5494),0.0073,18.48 min
500-100-9e-05-0.005-0.05-20,(torneo uniforme truncamiento),32,0.7340 (225 0.9977 0.9623 0.7174 0.5383),0.0030,36.60 min
500-100-9e-05-0.005-0.05-50,(torneo uniforme elitismo),20,0.7234 (247 0.9976 0.9599 0.7175 0.5067),0.0066,35.94 min
500-100-9e-05-0.005-0.05-50,(torneo uniforme reemplazo),20,0.7300 (232 0.9979 0.9638 0.7174 0.5139),0.0019,18.04 min
500-100-9e-05-0.005-0.05-50,(torneo uniforme truncamiento),21,0.7273 (238 0.9983 0.9634 0.7085 0.5140),0.0018,36.42 min
500-100-9e-05-0.05-0.0005-10,(torneo uniforme elitismo),36,0.7293 (223 0.9869 0.9486 0.7252 0.5546),0.0039,36.80 min
500-100-9e-05-0.05-0.0005-10,(torneo uniforme reemplazo),50,0.7334 (228 0.9801 0.9501 0.7351 0.5820),0.0054,18.68 min
500-100-9e-05-0.05-0.0005-10,(torneo uniforme truncamiento),40,0.7230 (251 0.9820 0.9510 0.7283 0.5424),0.0032,37.18 min
500-100-9e-05-0.05-0.0005-20,(torneo uniforme elitismo),21,0.7207 (247 0.9897 0.9483 0.7235 0.5299),0.0020,36.87 min
500-100-9e-05-0.05-0.0005-20,(torneo uniforme reemplazo),27,0.7239 (256 0.9854 0.9549 0.7192 0.5431),0.0054,18.43 min
500-100-9e-05-0.05-0.0005-20,(torneo uniforme truncamiento),21,0.7134 (274 0.9869 0.9520 0.7195 0.5111),0.0056,36.93 min
500-100-9e-05-0.05-0.0005-50,(torneo uniforme elitismo),13,0.7132 (270 0.9925 0.9514 0.7155 0.5090),0.0098,35.84 min
500-100-9e-05-0.05-0.0005-50,(torneo uniforme reemplazo),15,0.7146 (279 0.9904 0.9564 0.7182 0.5109),0.0024,18.13 min
500-100-9e-05-0.05-0.0005-50,(torneo uniforme truncamiento),15,0.7120 (274 0.9889 0.9508 0.7201 0.5080),0.0042,36.10 min
500-100-9e-05-0.05-0.005-10,(torneo uniforme elitismo),40,0.7298 (241 0.9836 0.9524 0.7291 0.5696),0.0055,36.49 min
500-100-9e-05-0.05-0.005-10,(torneo uniforme reemplazo),46,0.7332 (217 0.9857 0.9486 0.7320 0.5745),0.0055,18.62 min
500-100-9e-05-0.05-0.005-10,(torneo uniforme truncamiento),25,0.7160 (254 0.9913 0.9452 0.7171 0.5177),0.0050,36.31 min
500-100-9e-05-0.05-0.005-20,(torneo uniforme elitismo),23,0.7191 (256 0.9893 0.9513 0.7209 0.5273),0.0064,35.97 min
500-100-9e-05-0.05-0.005-20,(torneo uniforme reemplazo),28,0.7276 (236 0.9876 0.9510 0.7250 0.5485),0.0047,18.43 min
500-100-9e-05-0.05-0.005-20,(torneo uniforme truncamiento),22,0.7126 (282 0.9878 0.9556 0.7177 0.5105),0.0025,36.25 min
500-100-9e-05-0.05-0.005-50,(torneo uniforme elitismo),13,0.7124 (275 0.9919 0.9513 0.7147 0.5095),0.0044,35.38 min
500-100-9e-05-0.05-0.005-50,(torneo uniforme reemplazo),14,0.7155 (258 0.9917 0.9497 0.7209 0.5036),0.0032,18.07 min
500-100-9e-05-0.05-0.005-50,(torneo uniforme truncamiento),14,0.7125 (277 0.9892 0.9523 0.7208 0.5032),0.0018,35.93 min
500-100-9e-05-0.05-0.05-10,(torneo uniforme elitismo),39,0.7292 (232 0.9859 0.9449 0.7286 0.5775),0.0027,36.06 min
500-100-9e-05-0.05-0.05-10,(torneo uniforme reemplazo),52,0.7305 (239 0.9785 0.9511 0.7277 0.5782),0.0019,18.91 min
500-100-9e-05-0.05-0.05-10,(torneo uniforme truncamiento),33,0.7199 (246 0.9856 0.9449 0.7195 0.5459),0.0037,35.78 min
500-100-9e-05-0.05-0.05-20,(torneo uniforme elitismo),26,0.7215 (251 0.9873 0.9505 0.7152 0.5353),0.0052,35.01 min
500-100-9e-05-0.05-0.05-20,(torneo uniforme reemplazo),26,0.7231 (242 0.9885 0.9481 0.7291 0.5379),0.0052,18.34 min
500-100-9e-05-0.05-0.05-20,(torneo uniforme truncamiento),17,0.7111 (274 0.9899 0.9479 0.7167 0.5093),0.0033,34.95 min
500-100-9e-05-0.05-0.05-50,(torneo uniforme elitismo),12,0.7134 (257 0.9935 0.9441 0.7182 0.5116),0.0022,34.13 min
500-100-9e-05-0.05-0.05-50,(torneo uniforme reemplazo),14,0.7135 (269 0.9914 0.9517 0.7176 0.5060),0.0030,17.73 min
500-100-9e-05-0.05-0.05-50,(torneo uniforme truncamiento),13,0.7115 (270 0.9911 0.9503 0.7123 0.5034),0.0029,34.15 min
500-50-9e-05-0.0005-0.0005-10,(torneo uniforme elitismo),50,0.7553 (168 0.9997 0.9656 0.7305 0.5751),0.0029,18.80 min
500-50-9e-05-0.0005-0.0005-10,(torneo uniforme reemplazo),50,0.7594 (149 0.9999 0.9584 0.7357 0.5995),0.0023,9.44 min
500-50-9e-05-0.0005-0.0005-10,(torneo uniforme truncamiento),50,0.7460 (201 0.9995 0.9706 0.7232 0.5467),0.0043,18.60 min
500-50-9e-05-0.0005-0.0005-20,(torneo uniforme elitismo),40,0.7433 (201 0.9996 0.9722 0.7230 0.5282),0.0059,18.55 min
500-50-9e-05-0.0005-0.0005-20,(torneo uniforme reemplazo),45,0.7534 (183 0.9997 0.9731 0.7269 0.5625),0.0029,9.37 min
500-50-9e-05-0.0005-0.0005-20,(torneo uniforme truncamiento),36,0.7373 (215 0.9998 0.9679 0.7237 0.5162),0.0043,18.56 min
500-50-9e-05-0.0005-0.0005-50,(torneo uniforme elitismo),23,0.7322 (226 0.9996 0.9664 0.7139 0.5117),0.0029,18.18 min
500-50-9e-05-0.0005-0.0005-50,(torneo uniforme reemplazo),23,0.7328 (222 0.9999 0.9656 0.7179 0.5088),0.0039,9.18 min
500-50-9e-05-0.0005-0.0005-50,(torneo uniforme truncamiento),24,0.7315 (232 0.9995 0.9662 0.7142 0.5176),0.0020,18.23 min
500-50-9e-05-0.0005-0.005-10,(torneo uniforme elitismo),50,0.7564 (166 0.9997 0.9601 0.7348 0.5939),0.0024,18.71 min
500-50-9e-05-0.0005-0.005-10,(torneo uniforme reemplazo),50,0.7568 (157 0.9998 0.9587 0.7296 0.5972),0.0011,9.48 min
500-50-9e-05-0.0005-0.005-10,(torneo uniforme truncamiento),50,0.7479 (193 0.9993 0.9715 0.7259 0.5438),0.0044,18.88 min
500-50-9e-05-0.0005-0.005-20,(torneo uniforme elitismo),40,0.7454 (199 0.9995 0.9710 0.7247 0.5385),0.0045,18.48 min
500-50-9e-05-0.0005-0.005-20,(torneo uniforme reemplazo),43,0.7514 (186 0.9997 0.9711 0.7265 0.5531),0.0027,9.32 min
500-50-9e-05-0.0005-0.005-20,(torneo uniforme truncamiento),38,0.7391 (217 0.9996 0.9698 0.7205 0.5279),0.0039,18.56 min
