(Poblacion Generaciones Mutacion Elemento Mutacion Teoria Mutacion Practica Torneo),(Selección Cruce Sustitucion),Mejor Generacion(μ),Mejor Fitness(μ),Fitness(σ),Tiempo(μ)
500-50-9e-05-0.0005-0.005-50,(torneo uniforme elitismo),23,0.7293 (231 0.9999 0.9642 0.7110 0.5118),0.0051,18.23 min
500-50-9e-05-0.0005-0.005-50,(torneo uniforme reemplazo),27,0.7333 (224 0.9995 0.9670 0.7170 0.5131),0.0024,9.11 min
500-50-9e-05-0.0005-0.005-50,(torneo uniforme truncamiento),22,0.7289 (239 0.9999 0.9632 0.7222 0.5156),0.0025,18.47 min
500-50-9e-05-0.0005-0.05-10,(torneo uniforme elitismo),50,0.7542 (166 1.0000 0.9583 0.7301 0.5920),0.0008,18.99 min
500-50-9e-05-0.0005-0.05-10,(torneo uniforme reemplazo),49,0.7535 (160 0.9999 0.9543 0.7345 0.5907),0.0017,9.47 min
500-50-9e-05-0.0005-0.05-10,(torneo uniforme truncamiento),48,0.7430 (197 0.9998 0.9680 0.7214 0.5377),0.0055,18.91 min
500-50-9e-05-0.0005-0.05-20,(torneo uniforme elitismo),33,0.7409 (200 0.9998 0.9639 0.7257 0.5339),0.0041,18.55 min
500-50-9e-05-0.0005-0.05-20,(torneo uniforme reemplazo),43,0.7488 (188 0.9998 0.9672 0.7261 0.5589),0.0043,9.31 min
500-50-9e-05-0.0005-0.05-20,(torneo uniforme truncamiento),29,0.7339 (227 0.9999 0.9647 0.7214 0.5245),0.0044,18.43 min
500-50-9e-05-0.0005-0.05-50,(torneo uniforme elitismo),19,0.7273 (232 0.9998 0.9576 0.7163 0.5184),0.0045,18.00 min
500-50-9e-05-0.0005-0.05-50,(torneo uniforme reemplazo),21,0.7295 (234 0.9997 0.9633 0.7188 0.5124),0.0034,9.16 min
500-50-9e-05-0.0005-0.05-50,(torneo uniforme truncamiento),21,0.7288 (230 0.9998 0.9620 0.7133 0.5099),0.0056,18.38 min
500-50-9e-05-0.005-0.0005-10,(torneo uniforme elitismo),49,0.7540 (171 0.9965 0.9637 0.7274 0.5832),0.0010,18.75 min
500-50-9e-05-0.005-0.0005-10,(torneo uniforme reemplazo),50,0.7560 (153 0.9988 0.9563 0.7332 0.5932),0.0014,9.46 min
500-50-9e-05-0.005-0.0005-10,(torneo uniforme truncamiento),46,0.7387 (219 0.9963 0.9716 0.7214 0.5253),0.0046,18.70 min
500-50-9e-05-0.005-0.0005-20,(torneo uniforme elitismo),33,0.7391 (220 0.9970 0.9676 0.7265 0.5387),0.0059,18.47 min
500-50-9e-05-0.005-0.0005-20,(torneo uniforme reemplazo),41,0.7492 (196 0.9976 0.9707 0.7251 0.5633),0.0056,9.23 min
500-50-9e-05-0.005-0.0005-20,(torneo uniforme truncamiento),34,0.7364 (227 0.9970 0.9667 0.7213 0.5330),0.0045,18.38 min
500-50-9e-05-0.005-0.0005-50,(torneo uniforme elitismo),19,0.7289 (237 0.9979 0.9633 0.7205 0.5119),0.0023,18.34 min
500-50-9e-05-0.005-0.0005-50,(torneo uniforme reemplazo),25,0.7323 (230 0.9981 0.9654 0.7152 0.5187),0.0066,9.17 min
500-50-9e-05-0.005-0.0005-50,(torneo uniforme truncamiento),19,0.7273 (242 0.9985 0.9637 0.7171 0.5090),0.0066,18.35 min
500-50-9e-05-0.005-0.005-10,(torneo uniforme elitismo),48,0.7545 (169 0.9977 0.9630 0.7329 0.5799),0.0039,18.76 min
500-50-9e-05-0.005-0.005-10,(torneo uniforme reemplazo),50,0.7548 (159 0.9978 0.9567 0.7360 0.5895),0.0039,9.42 min
500-50-9e-05-0.005-0.005-10,(torneo uniforme truncamiento),49,0.7435 (204 0.9965 0.9678 0.7244 0.5494),0.0025,18.65 min
500-50-9e-05-0.005-0.005-20,(torneo uniforme elitismo),35,0.7413 (216 0.9969 0.9698 0.7260 0.5379),0.0057,18.49 min
500-50-9e-05-0.005-0.005-20,(torneo uniforme reemplazo),36,0.7450 (206 0.9972 0.9698 0.7274 0.5511),0.0052,9.29 min
500-50-9e-05-0.005-0.005-20,(torneo uniforme truncamiento),34,0.7352 (226 0.9976 0.9691 0.7214 0.5223),0.0026,18.52 min
500-50-9e-05-0.005-0.005-50,(torneo uniforme elitismo),21,0.7290 (241 0.9979 0.9647 0.7203 0.5079),0.0019,18.21 min
500-50-9e-05-0.005-0.005-50,(torneo uniforme reemplazo),23,0.7312 (233 0.9979 0.9653 0.7165 0.5138),0.0041,9.13 min
500-50-9e-05-0.005-0.005-50,(torneo uniforme truncamiento),23,0.7292 (242 0.9976 0.9668 0.7149 0.5099),0.0018,18.13 min
500-50-9e-05-0.005-0.05-10,(torneo uniforme elitismo),49,0.7489 (180 0.9965 0.9590 0.7288 0.5776),0.0016,19.00 min
500-50-9e-05-0.005-0.05-10,(torneo uniforme reemplazo),49,0.7520 (164 0.9973 0.9556 0.7321 0.5863),0.0030,9.47 min
500-50-9e-05-0.005-0.05-10,(torneo uniforme truncamiento),49,0.7442 (198 0.9968 0.9623 0.7290 0.5600),0.0013,18.89 min
500-50-9e-05-0.005-0.05-20,(torneo uniforme elitismo),33,0.7363 (220 0.9969 0.9642 0.7180 0.5356),0.0022,18.54 min
500-50-9e-05-0.005-0.05-20,(torneo uniforme reemplazo),36,0.7447 (200 0.9972 0.9640 0.7280 0.5630),0.0035,9.38 min
500-50-9e-05-0.005-0.05-20,(torneo uniforme truncamiento),27,0.7328 (224 0.9981 0.9616 0.7161 0.5250),0.0059,18.47 min
500-50-9e-05-0.005-0.05-50,(torneo uniforme elitismo),19,0.7254 (241 0.9979 0.9609 0.7150 0.5119),0.0039,18.30 min
500-50-9e-05-0.005-0.05-50,(torneo uniforme reemplazo),22,0.7296 (233 0.9982 0.9608 0.7209 0.5214),0.0042,9.11 min
500-50-9e-05-0.005-0.05-50,(torneo uniforme truncamiento),18,0.7233 (241 0.9978 0.9572 0.7175 0.5053),0.0073,18.07 min
500-50-9e-05-0.05-0.0005-10,(torneo uniforme elitismo),42,0.7314 (234 0.9843 0.9485 0.7324 0.5769),0.0023,18.83 min
500-50-9e-05-0.05-0.0005-10,(torneo uniforme reemplazo),47,0.7338 (221 0.9819 0.9483 0.7318 0.5766),0.0018,9.46 min
500-50-9e-05-0.05-0.0005-10,(torneo uniforme truncamiento),33,0.7191 (238 0.9872 0.9427 0.7216 0.5365),0.0035,18.75 min
500-50-9e-05-0.05-0.0005-20,(torneo uniforme elitismo),24,0.7211 (253 0.9887 0.9492 0.7242 0.5401),0.0032,18.40 min
500-50-9e-05-0.05-0.0005-20,(torneo uniforme reemplazo),24,0.7192 (251 0.9887 0.9496 0.7202 0.5304),0.0038,9.26 min
500-50-9e-05-0.05-0.0005-20,(torneo uniforme truncamiento),19,0.7123 (271 0.9895 0.9491 0.7151 0.5136),0.0020,18.62 min
500-50-9e-05-0.05-0.0005-50,(torneo uniforme elitismo),17,0.7167 (271 0.9877 0.9566 0.7183 0.5067),0.0036,18.50 min
500-50-9e-05-0.05-0.0005-50,(torneo uniforme reemplazo),13,0.7130 (264 0.9912 0.9488 0.7146 0.5062),0.0034,9.14 min
500-50-9e-05-0.05-0.0005-50,(torneo uniforme truncamiento),14,0.7130 (272 0.9895 0.9515 0.7143 0.5132),0.0051,18.54 min
500-50-9e-05-0.05-0.005-10,(torneo uniforme elitismo),43,0.7306 (234 0.9827 0.9516 0.7312 0.5697),0.0049,18.87 min
500-50-9e-05-0.05-0.005-10,(torneo uniforme reemplazo),45,0.7315 (233 0.9845 0.9498 0.7236 0.5822),0.0050,9.43 min
500-50-9e-05-0.05-0.005-10,(torneo uniforme truncamiento),32,0.7209 (243 0.9879 0.9463 0.7237 0.5355),0.0040,18.76 min
500-50-9e-05-0.05-0.005-20,(torneo uniforme elitismo),26,0.7206 (257 0.9867 0.9512 0.7234 0.5350),0.0036,18.45 min
500-50-9e-05-0.05-0.005-20,(torneo uniforme reemplazo),26,0.7220 (255 0.9855 0.9503 0.7235 0.5472),0.0037,9.18 min
500-50-9e-05-0.05-0.005-20,(torneo uniforme truncamiento),18,0.7154 (259 0.9905 0.9491 0.7195 0.5119),0.0075,18.43 min
500-50-9e-05-0.05-0.005-50,(torneo uniforme elitismo),16,0.7149 (277 0.9878 0.9528 0.7153 0.5196),0.0019,18.15 min
500-50-9e-05-0.05-0.005-50,(torneo uniforme reemplazo),16,0.7142 (269 0.9882 0.9517 0.7162 0.5103),0.0035,9.17 min
500-50-9e-05-0.05-0.005-50,(torneo uniforme truncamiento),14,0.7122 (273 0.9895 0.9536 0.7135 0.4994),0.0040,18.32 min
500-50-9e-05-0.05-0.05-10,(torneo uniforme elitismo),34,0.7280 (230 0.9886 0.9471 0.7249 0.5605),0.0070,18.87 min
500-50-9e-05-0.05-0.05-10,(torneo uniforme reemplazo),44,0.7321 (227 0.9834 0.9495 0.7284 0.5745),0.0033,9.45 min
500-50-9e-05-0.05-0.05-10,(torneo uniforme truncamiento),33,0.7168 (265 0.9856 0.9473 0.7206 0.5394),0.0054,18.74 min
500-50-9e-05-0.05-0.05-20,(torneo uniforme elitismo),22,0.7194 (250 0.9891 0.9488 0.7234 0.5215),0.0031,18.63 min
500-50-9e-05-0.05-0.05-20,(torneo uniforme reemplazo),26,0.7220 (258 0.9873 0.9528 0.7220 0.5391),0.0037,9.40 min
500-50-9e-05-0.05-0.05-20,(torneo uniforme truncamiento),18,0.7135 (259 0.9908 0.9491 0.7189 0.5025),0.0043,18.67 min
500-50-9e-05-0.05-0.05-50,(torneo uniforme elitismo),15,0.7118 (291 0.9894 0.9530 0.7169 0.5190),0.0028,18.33 min
500-50-9e-05-0.05-0.05-50,(torneo uniforme reemplazo),15,0.7146 (266 0.9905 0.9525 0.7137 0.5110),0.0035,9.13 min
500-50-9e-05-0.05-0.05-50,(torneo uniforme truncamiento),14,0.7144 (265 0.9908 0.9490 0.7179 0.5139),0.0019,18.35 min
500-80-9e-05-0.0005-0.0005-10,(torneo uniforme elitismo),73,0.7686 (149 0.9994 0.9763 0.7394 0.5915),0.0035,29.95 min
500-80-9e-05-0.0005-0.0005-10,(torneo uniforme reemplazo),75,0.7688 (147 0.9997 0.9783 0.7323 0.5913),0.0042,14.91 min
500-80-9e-05-0.0005-0.0005-10,(torneo uniforme truncamiento),59,0.7521 (182 0.9996 0.9728 0.7223 0.5544),0.0030,29.84 min
500-80-9e-05-0.0005-0.0005-20,(torneo uniforme elitismo),41,0.7440 (204 0.9996 0.9726 0.7219 0.5307),0.0071,29.51 min
500-80-9e-05-0.0005-0.0005-20,(torneo uniforme reemplazo),43,0.7496 (191 0.9994 0.9737 0.7254 0.5424),0.0037,14.76 min
500-80-9e-05-0.0005-0.0005-20,(torneo uniforme truncamiento),32,0.7366 (221 0.9995 0.9704 0.7209 0.5137),0.0057,29.36 min
500-80-9e-05-0.0005-0.0005-50,(torneo uniforme elitismo),23,0.7326 (228 0.9997 0.9644 0.7204 0.5202),0.0043,29.25 min
500-80-9e-05-0.0005-0.0005-50,(torneo uniforme reemplazo),29,0.7362 (219 0.9999 0.9687 0.7169 0.5232),0.0063,14.59 min
500-80-9e-05-0.0005-0.0005-50,(torneo uniforme truncamiento),29,0.7321 (226 0.9994 0.9636 0.7217 0.5120),0.0043,29.22 min
500-80-9e-05-0.0005-0.005-10,(torneo uniforme elitismo),69,0.7672 (155 0.9995 0.9765 0.7349 0.5951),0.0018,30.44 min
500-80-9e-05-0.0005-0.005-10,(torneo uniforme reemplazo),77,0.7721 (148 0.9995 0.9768 0.7382 0.6174),0.0035,15.04 min
500-80-9e-05-0.0005-0.005-10,(torneo uniforme truncamiento),54,0.7456 (208 0.9996 0.9733 0.7244 0.5402),0.0043,29.89 min
500-80-9e-05-0.0005-0.005-20,(torneo uniforme elitismo),38,0.7442 (201 0.9998 0.9714 0.7250 0.5330),0.0053,29.34 min
500-80-9e-05-0.0005-0.005-20,(torneo uniforme reemplazo),45,0.7526 (184 0.9998 0.9732 0.7259 0.5571),0.0015,14.81 min
500-80-9e-05-0.0005-0.005-20,(torneo uniforme truncamiento),38,0.7418 (209 0.9997 0.9692 0.7206 0.5376),0.0058,29.27 min
500-80-9e-05-0.0005-0.005-50,(torneo uniforme elitismo),28,0.7296 (225 0.9997 0.9631 0.7175 0.5027),0.0067,29.10 min
500-80-9e-05-0.0005-0.005-50,(torneo uniforme reemplazo),23,0.7342 (227 0.9999 0.9657 0.7189 0.5271),0.0058,14.55 min
500-80-9e-05-0.0005-0.005-50,(torneo uniforme truncamiento),22,0.7286 (237 0.9998 0.9652 0.7168 0.5067),0.0053,29.26 min
500-80-9e-05-0.0005-0.05-10,(torneo uniforme elitismo),65,0.7611 (164 0.9996 0.9703 0.7259 0.5939),0.0023,29.90 min
500-80-9e-05-0.0005-0.05-10,(torneo uniforme reemplazo),73,0.7649 (154 0.9995 0.9710 0.7326 0.6039),0.0022,15.12 min
500-80-9e-05-0.0005-0.05-10,(torneo uniforme truncamiento),54,0.7432 (202 0.9995 0.9676 0.7138 0.5460),0.0043,29.73 min
500-80-9e-05-0.0005-0.05-20,(torneo uniforme elitismo),33,0.7426 (200 0.9999 0.9674 0.7232 0.5381),0.0047,30.04 min
500-80-9e-05-0.0005-0.05-20,(torneo uniforme reemplazo),41,0.7467 (198 0.9997 0.9678 0.7219 0.5608),0.0073,14.66 min
500-80-9e-05-0.0005-0.05-20,(torneo uniforme truncamiento),31,0.7366 (213 0.9998 0.9654 0.7205 0.5250),0.0055,29.23 min
500-80-9e-05-0.0005-0.05-50,(torneo uniforme elitismo),22,0.7285 (234 0.9997 0.9621 0.7170 0.5122),0.0048,29.21 min
500-80-9e-05-0.0005-0.05-50,(torneo uniforme reemplazo),19,0.7274 (229 0.9999 0.9584 0.7172 0.5115),0.0060,14.43 min
500-80-9e-05-0.0005-0.05-50,(torneo uniforme truncamiento),22,0.7279 (240 0.9999 0.9656 0.7189 0.5050),0.0043,28.91 min
500-80-9e-05-0.005-0.0005-10,(torneo uniforme elitismo),70,0.7628 (168 0.9954 0.9757 0.7334 0.5901),0.0047,30.42 min
500-80-9e-05-0.005-0.0005-10,(torneo uniforme reemplazo),73,0.7654 (167 0.9958 0.9767 0.7349 0.6036),0.0032,15.11 min
500-80-9e-05-0.005-0.0005-10,(torneo uniforme truncamiento),48,0.7446 (207 0.9961 0.9702 0.7254 0.5472),0.0047,29.80 min
500-80-9e-05-0.005-0.0005-20,(torneo uniforme elitismo),37,0.7415 (222 0.9957 0.9696 0.7228 0.5531),0.0044,29.15 min
500-80-9e-05-0.005-0.0005-20,(torneo uniforme reemplazo),41,0.7490 (193 0.9972 0.9732 0.7229 0.5516),0.0016,14.92 min
500-80-9e-05-0.005-0.0005-20,(torneo uniforme truncamiento),32,0.7328 (237 0.9965 0.9692 0.7195 0.5192),0.0054,29.28 min
500-80-9e-05-0.005-0.0005-50,(torneo uniforme elitismo),21,0.7292 (239 0.9975 0.9644 0.7227 0.5120),0.0040,29.12 min
500-80-9e-05-0.005-0.0005-50,(torneo uniforme reemplazo),20,0.7279 (239 0.9971 0.9652 0.7152 0.5085),0.0022,14.58 min
500-80-9e-05-0.005-0.0005-50,(torneo uniforme truncamiento),20,0.7279 (236 0.9976 0.9642 0.7188 0.5045),0.0037,29.17 min
500-80-9e-05-0.005-0.005-10,(torneo uniforme elitismo),60,0.7560 (181 0.9957 0.9714 0.7344 0.5770),0.0066,30.00 min
500-80-9e-05-0.005-0.005-10,(torneo uniforme reemplazo),67,0.7633 (162 0.9955 0.9713 0.7336 0.6024),0.0036,15.04 min
500-80-9e-05-0.005-0.005-10,(torneo uniforme truncamiento),46,0.7413 (210 0.9961 0.9703 0.7205 0.5325),0.0048,30.09 min
500-80-9e-05-0.005-0.005-20,(torneo uniforme elitismo),35,0.7398 (217 0.9968 0.9684 0.7218 0.5352),0.0061,29.79 min
500-80-9e-05-0.005-0.005-20,(torneo uniforme reemplazo),42,0.7496 (196 0.9963 0.9709 0.7273 0.5603),0.0029,14.89 min
500-80-9e-05-0.005-0.005-20,(torneo uniforme truncamiento),31,0.7339 (228 0.9968 0.9672 0.7168 0.5288),0.0074,29.45 min
500-80-9e-05-0.005-0.005-50,(torneo uniforme elitismo),21,0.7270 (240 0.9979 0.9644 0.7173 0.5035),0.0040,28.88 min
500-80-9e-05-0.005-0.005-50,(torneo uniforme reemplazo),20,0.7313 (223 0.9985 0.9639 0.7164 0.5104),0.0037,14.61 min
500-80-9e-05-0.005-0.005-50,(torneo uniforme truncamiento),20,0.7222 (249 0.9970 0.9608 0.7147 0.5014),0.0043,28.77 min
500-80-9e-05-0.005-0.05-10,(torneo uniforme elitismo),61,0.7539 (182 0.9964 0.9669 0.7289 0.5868),0.0053,29.97 min
500-80-9e-05-0.005-0.05-10,(torneo uniforme reemplazo),63,0.7595 (169 0.9965 0.9650 0.7318 0.6108),0.0045,15.05 min
500-80-9e-05-0.005-0.05-10,(torneo uniforme truncamiento),53,0.7416 (212 0.9973 0.9649 0.7229 0.5524),0.0048,29.83 min
500-80-9e-05-0.005-0.05-20,(torneo uniforme elitismo),32,0.7383 (210 0.9980 0.9640 0.7188 0.5385),0.0033,29.27 min
500-80-9e-05-0.005-0.05-20,(torneo uniforme reemplazo),38,0.7449 (200 0.9971 0.9661 0.7239 0.5549),0.0047,14.81 min
500-80-9e-05-0.005-0.05-20,(torneo uniforme truncamiento),29,0.7322 (231 0.9979 0.9633 0.7205 0.5301),0.0063,29.67 min
500-80-9e-05-0.005-0.05-50,(torneo uniforme elitismo),22,0.7285 (235 0.9981 0.9595 0.7152 0.5184),0.0040,29.47 min
500-80-9e-05-0.005-0.05-50,(torneo uniforme reemplazo),22,0.7313 (228 0.9980 0.9616 0.7176 0.5216),0.0020,14.58 min
500-80-9e-05-0.005-0.05-50,(torneo uniforme truncamiento),20,0.7239 (242 0.9983 0.9600 0.7182 0.5000),0.0016,29.10 min
500-80-9e-05-0.05-0.0005-10,(torneo uniforme elitismo),42,0.7310 (242 0.9853 0.9519 0.7299 0.5774),0.0045,29.88 min
500-80-9e-05-0.05-0.0005-10,(torneo uniforme reemplazo),46,0.7334 (226 0.9840 0.9495 0.7350 0.5768),0.0020,14.97 min
500-80-9e-05-0.05-0.0005-10,(torneo uniforme truncamiento),39,0.7227 (249 0.9841 0.9504 0.7231 0.5473),0.0029,29.78 min
500-80-9e-05-0.05-0.0005-20,(torneo uniforme elitismo),21,0.7202 (244 0.9898 0.9496 0.7214 0.5272),0.0060,29.31 min
500-80-9e-05-0.05-0.0005-20,(torneo uniforme reemplazo),27,0.7234 (251 0.9848 0.9538 0.7270 0.5304),0.0081,14.79 min
500-80-9e-05-0.05-0.0005-20,(torneo uniforme truncamiento),22,0.7160 (271 0.9856 0.9528 0.7197 0.5205),0.0032,30.04 min
500-80-9e-05-0.05-0.0005-50,(torneo uniforme elitismo),15,0.7129 (282 0.9880 0.9557 0.7178 0.5124),0.0060,28.90 min
500-80-9e-05-0.05-0.0005-50,(torneo uniforme reemplazo),14,0.7141 (263 0.9902 0.9512 0.7131 0.5071),0.0042,14.33 min
500-80-9e-05-0.05-0.0005-50,(torneo uniforme truncamiento),14,0.7114 (269 0.9904 0.9497 0.7169 0.5004),0.0033,29.12 min
500-80-9e-05-0.05-0.005-10,(torneo uniforme elitismo),42,0.7312 (233 0.9837 0.9522 0.7312 0.5648),0.0045,29.74 min
500-80-9e-05-0.05-0.005-10,(torneo uniforme reemplazo),47,0.7348 (219 0.9842 0.9506 0.7288 0.5797),0.0041,15.06 min
500-80-9e-05-0.05-0.005-10,(torneo uniforme truncamiento),33,0.7208 (248 0.9870 0.9485 0.7226 0.5379),0.0047,29.97 min
500-80-9e-05-0.05-0.005-20,(torneo uniforme elitismo),21,0.7211 (247 0.9906 0.9491 0.7182 0.5321),0.0046,29.52 min
500-80-9e-05-0.05-0.005-20,(torneo uniforme reemplazo),27,0.7248 (249 0.9876 0.9523 0.7248 0.5430),0.0049,14.74 min
500-80-9e-05-0.05-0.005-20,(torneo uniforme truncamiento),20,0.7156 (275 0.9870 0.9540 0.7239 0.5121),0.0028,29.77 min
500-80-9e-05-0.05-0.005-50,(torneo uniforme elitismo),15,0.7150 (274 0.9919 0.9542 0.7189 0.5126),0.0026,29.43 min
500-80-9e-05-0.05-0.005-50,(torneo uniforme reemplazo),14,0.7145 (269 0.9908 0.9511 0.7166 0.5137),0.0036,14.51 min
500-80-9e-05-0.05-0.005-50,(torneo uniforme truncamiento),13,0.7109 (274 0.9901 0.9502 0.7171 0.5077),0.0033,29.42 min
500-80-9e-05-0.05-0.05-10,(torneo uniforme elitismo),43,0.7288 (236 0.9832 0.9492 0.7289 0.5662),0.0027,30.17 min
500-80-9e-05-0.05-0.05-10,(torneo uniforme reemplazo),44,0.7304 (231 0.9833 0.9491 0.7266 0.5733),0.0037,14.89 min
500-80-9e-05-0.05-0.05-10,(torneo uniforme truncamiento),28,0.7183 (253 0.9887 0.9453 0.7208 0.5372),0.0028,29.71 min
500-80-9e-05-0.05-0.05-20,(torneo uniforme elitismo),20,0.7219 (233 0.9934 0.9440 0.7220 0.5334),0.0052,29.29 min
500-80-9e-05-0.05-0.05-20,(torneo uniforme reemplazo),26,0.7232 (255 0.9876 0.9547 0.7245 0.5344),0.0027,14.61 min
500-80-9e-05-0.05-0.05-20,(torneo uniforme truncamiento),18,0.7135 (271 0.9888 0.9510 0.7161 0.5097),0.0037,29.19 min
500-80-9e-05-0.05-0.05-50,(torneo uniforme elitismo),14,0.7125 (277 0.9901 0.9507 0.7180 0.5077),0.0036,29.28 min
500-80-9e-05-0.05-0.05-50,(torneo uniforme reemplazo),17,0.7139 (274 0.9889 0.9520 0.7178 0.5103),0.0034,14.44 min
500-80-9e-05-0.05-0.05-50,(torneo uniforme truncamiento),14,0.7086 (286 0.9895 0.9518 0.7171 0.4942),0.0038,29.12 min
Tiempo Total,,,,,37.04 hr
